skills,career
"python,pandas,sql,machine learning",data science
"r,pandas,numpy,data visualization",data science
"html,css,javascript,bootstrap,react",web development
"node.js,express,mongodb,api development",web development
"java,spring,hibernate",web development
"c++,linux,networking",cyber security
"ethical hacking,firewall,vulnerability assessment",cyber security
"excel,sql,tableau,data visualization",business analyst
"statistics,sql,excel",data analyst
"r,statistics,hypothesis testing",data analyst
"seo,content writing,google analytics",digital marketing
"email marketing,social media,branding",digital marketing
"c,c++,problem solving",competitive programming
"python,opencv,deep learning",computer vision
"nlp,transformers,bert",data science
"aws,cloud,devops,docker",cloud engineer
"azure,terraform,cloud security",cloud engineer
"jira,agile,sdlc",business analyst
"power bi,excel,data visualization",data analyst
"photoshop,illustrator",graphic designing
"video editing,after effects,creativity",multimedia designer
